chunk_id,source_file,start_page,end_page,heading,chunk_index,word_count,text
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p7-8::s0014::recommendation-4::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,7,8,Recommendation 4,1,383,"Recommendation 4 Explain the benefits of smoking cessation on COPD progression and strongly encourage those who smoke to quit. Smoking is the commonest risk factor for COPD and smoking cessation is the single most effective intervention for managing the disease. Stopping smoking reduces decline in lung function (see Figure 3)¹⁷ and mortality. Check smoking status in every patient with COPD and encourage those who smoke to quit smoking. Studies have shown that even brief clinician advice—less than three minutes—produces long-term smoking abstinence rates of 13.4%.¹⁸ Figure 3. Smoking and decline of lung function FEV₁, Forced expiratory volume in one second Source: Adapted from Fletcher C & Peto R, 1977;1:1645-48, with permission from BMJ Publishing Group Ltd Patient resources on smoking cessation, including cessation programmes, can be found at HealthHub’s I Quit Programme webpage. Scan or click the QR code to find out more. Smoking cessation — the 2As Routinely use the 2As approach as a brief opportunistic first-line intervention during consultations.¹⁹ Ask all patients about smoking Act to help all smokers quit²⁰ Consider a more comprehensive approach to smoking cessation if time permits, or refer for smoking cessation services. Scan or click the QR code for the HealthierSG care protocol on smoking cessation. Pharmacotherapy Figure 4. Individualised maintenance pharmacotherapy options for patients with COPD Number of Exacerbations (last 12 months) 0–1 exacerbations treated as outpatient + COPD symptoms Infrequent or less intense symptoms (for example, CAT <10) LAMA Frequent / intense symptoms (for example, CAT ≥10) LAMA + LABA ≥2 exacerbations treated as outpatient OR ≥1 leading to hospitalisations LAMA + LABA (If blood eosinophils ≥300 cells/μL) Continues to have exacerbations & blood eosinophils ≥100 cells/μL Consider LAMA + LABA + ICS* See Recommendation 5 See Recommendation 6 and 7 SABA or SAMA can be used in addition to maintenance therapy to relieve intermittent dyspnea CAT, COPD Assessment Test; (CATTM); ICS, inhaled corticosteroid; LABA, long-acting beta2-agonist; LAMA, long-acting muscarinic antagonist; SABA, short-acting beta2-agonist; SAMA, short-acting muscarinic antagonist. *Consider adjusting down the dose or withdrawing ICS if pneumonia or other associated side effects of ICS occur. But caution in patients with blood eosinophils ≥300 cells/μL as this can be associated with the development of exacerbations. †LABA-only inhalers are not available in Singapore at the time of ACG publication; see Recommendation 5 for more details."
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p8-8::s0015::recommendation-5::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,8,8,Recommendation 5,1,147,"Recommendation 5 Start bronchodilator treatment, preferably a long-acting bronchodilator, for patients with infrequent or less intense symptoms and lower risk of exacerbations. Inhaled bronchodilators relax bronchial smooth muscles, relieving bronchospasm and dyspnoea. They are central in preventing or reducing COPD symptoms.¹ They comprise beta2-agonists and antimuscarinics, and can be short- or long-acting. Long-acting bronchodilators are preferred as the initial maintenance therapy. Regular use of long-acting bronchodilators improves lung function, dyspnoea, health status, and reduces exacerbation rates.¹ Long-acting muscarinic antagonists (LAMAs) are usually preferred over long-acting beta2-agonists (LABAs), with evidence suggesting some reduction in exacerbation rates with LAMAs compared to LABAs.²¹ At the time of ACG publication, there are no LABA-only inhalers available in Singapore. Short-acting bronchodilators alone can be considered in patients with very occasional dyspnoea.¹ Short-acting beta2-agonist (SABA) or short-acting muscarinic antagonist (SAMA) can be used as needed to relieve intermittent dyspnoea in all COPD patients."
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p9-9::s0016::recommendation-6::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,9,9,Recommendation 6,1,82,"Recommendation 6 Start dual bronchodilator therapy with LAMA + LABA for patients with frequent or intense COPD symptoms, or a higher risk of exacerbations. For patients with frequent or intense COPD symptoms (for example, CAT ≥10) or at a higher risk of future exacerbations (for example, have had at least two COPD exacerbations or one COPD exacerbation requiring hospitalisation in the past year), LAMA + LABA combination has a greater ability to reduce COPD exacerbations compared to monotherapy with a long-acting bronchodilator.¹˒²²"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p9-9::s0018::initial-treatment-with-triple-therapy-lama-laba-ics::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,9,9,Initial treatment with triple therapy (LAMA + LABA + ICS),1,142,"Initial treatment with triple therapy (LAMA + LABA + ICS) Initiating treatment with triple therapy (LAMA + LABA + inhaled corticosteroid [ICS]) could be considered if the patient is assessed to be at a higher risk for exacerbations (for example, two or more exacerbations of COPD requiring antibiotics or steroids per year or history of hospitalisation(s) for COPD) and have blood eosinophils ≥300 cells/μL. Although there is limited evidence for initiating treatment with triple therapy, this is a practical recommendation based on inferences from randomised controlled trials which have shown that increased eosinophil counts were associated with increased COPD exacerbation rates in patients already on treatment.¹˒²³⁻²⁵ Other factors which would favour the use of ICS include the history of asthma. ICS therapy plays a role for patients with features of both asthma and COPD.¹ Consider specialist referral for this group of patients."
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p9-9::s0019::escalation-to-triple-therapy-lama-laba-ics::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,9,9,Escalation to triple therapy (LAMA + LABA + ICS),1,205,"Escalation to triple therapy (LAMA + LABA + ICS) For patients who continue to have frequent exacerbations on LAMA + LABA therapy and have elevated blood eosinophil levels (blood eosinophils ≥100 cells/μL), addition of inhaled corticosteroid (ICS) to LAMA + LABA therapy should be considered.¹ It has been shown to improve lung function, patient reported outcomes, and reduce exacerbations when compared to dual long-acting bronchodilator therapy.²³˒²⁴˒²⁶ Side effects and complications associated with the use of ICS include oral thrush, hoarse voice, skin bruising, and pneumonia. Regular use of ICS increases the risk of pneumonia,²⁷ especially when using high dose/high-potency ICS, or in certain subgroups of patients with COPD, such as patients with severe disease, smokers, aged 55 or more years, BMI <25 kg/m², and a previous history of exacerbation or pneumonia. As such, ICS is not recommended for patients with recurrent pneumonia events, blood eosinophils <100 cells/μL, or history of mycobacterial infections.¹ Blood eosinophil levels have been found to have reasonable repeatability during stable disease (at least 14 days after an exacerbation).²⁸ Clinicians are reminded to do a full blood count to check blood eosinophil levels before starting ICS in COPD patients – this can be done after an episode of exacerbation (see Figure 4)."
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p9-10::s0020::alternatives-to-single-inhaler-triple-therapy-sitt::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,9,10,Alternatives to Single-Inhaler Triple Therapy (SITT),1,149,"Alternatives to Single-Inhaler Triple Therapy (SITT) If combination treatment involving LAMA + LABA + ICS is required for the patient, prescribing single-inhaler triple therapy (SITT), which combines all three drugs into a single inhaler, will simplify the dosing regimen for patients, and avoid confusion in using different types of inhaler devices. Prescribing more than one device or inhaler to achieve the desired triple therapy effect is an alternative option. Clinicians should engage in a tailored discussion with the patient about their management goals to determine the most appropriate treatment for them – including patient affordability factors. Inhaled bronchodilators and ICS registered in Singapore for the management of COPD are listed in Figure 5. Other medications for management of COPD Methylxanthines such as theophylline, mucolytics, and macrolides are not within the scope of this clinical guideline. Overall, they should be reserved as adjuncts to inhaled therapy. Assessment of inhaler technique"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p10-10::s0021::recommendation-8-assess-inhaler-technique-and-medication-adh::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,10,10,Recommendation 8 Assess inhaler technique and medication adherence at every visit and provide support to ensure optimal ,1,222,"Recommendation 8 Assess inhaler technique and medication adherence at every visit and provide support to ensure optimal benefits from medications. Incorrect inhaler technique is common. Before stepping up therapy, assess whether patients are adhering to their recommended treatment and using their inhalers correctly. Provide patients with sufficient information and demonstration on correct inhaler use for optimal benefits. Scan or click the QR code for more related information (for example, inhaler technique videos). Figure 5. Inhalers for COPD registered in Singapore Relievers – short-acting bronchodilators SABA: Salbutamol (Salbair MDI*, Azmasol MDI*, Ventolin Evohaler MDI, Buventol Easyhaler DPI*) SAMA: Ipratropium (Iprovent MDI*) SAMA + SABA: Ipratropium + fenoterol (Berodual N MDI) Maintenance – long-acting bronchodilators LAMA: Umeclidinium (Incruse Ellipta DPI) Glycopyrronium (Seebri Breezhaler DPI) Tiotropium (Spiriva Respimat SMI) LAMA + LABA: Umeclidinium + vilanterol (Anoro Ellipta DPI) Glycopyrronium + indacaterol (Ultibro Breezhaler DPI) Tiotropium + olodaterol (Spiolto Respimat SMI) Maintenance – ICS† combinations LABA + ICS: Formoterol + budesonide (Symbicort Turbuhaler DPI^, Symbicort Rapihaler MDI^, DuoResp Spiromax DPI*) Salmeterol + fluticasone propionate (Seretide Accuhaler DPI^, Salflumix Easyhaler DPI*^) Vilanterol + fluticasone furoate (Relvar Ellipta DPI*^) Formoterol + beclomethasone dipropionate (Foster MDI, Foster NEXThaler DPI) LAMA + LABA + ICS: Umeclidinium + vilanterol + fluticasone furoate (Trelegy Ellipta DPI*^) Glycopyrronium + formoterol + beclomethasone dipropionate (Trimbow MDI) Glycopyrronium + formoterol + budesonide (Breztri Aerosphere MDI)"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p10-11::s0022::check-if-your-patient-is-doubling-up-on-inhalers::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,10,11,Check if your patient is doubling up on inhalers,1,282,"Check if your patient is doubling up on inhalers Do not double up on inhalers from the same class of drugs. For example, if a patient is already on one LAMA such as umeclidinium, do not prescribe another, such as glycopyrronium or tiotropium. Do not double up on inhalers containing a muscarinic antagonist (SAMA, LAMA, or LAMA + LABA). This includes a SAMA with LAMA, because of potential antimuscarinic or anticholinergic side effects such as dry mouth and urinary retention. Do not double up on inhalers containing a LABA (LAMA + LABA, LABA + ICS). Common side effects include tremors, palpitations, and headaches. List of inhalers currently registered and available for COPD management in Singapore. Active ingredients in bold denote availability on government subsidy list. Please refer to product inserts for detailed information on the inhalers. * Generics. † ICS (beclomethasone, budesonide, fluticasone) should only be used in combination with LAMA+LABA. ^ Not all strengths available are registered for COPD. Symbicort Turbuhaler: only 9/320 mcg and 4.5/160 mcg Symbicort Rapihaler: only the 2.25/80 mcg and 4.5/160 mcg Seretide Accuhaler: only 50/500 mcg Salflumix Easyhaler: only 50/500 mcg Relvar Ellipta: only 25/100 mcg Trelegy Ellipta: only 100/62.5/25 mcg DPI, dry powder inhaler; ICS, inhaled corticosteroid; LABA, long-acting beta2-agonist; LAMA, long-acting muscarinic antagonist; mcg, microgram; MDI, metered dose inhaler; SABA, short-acting beta2-agonist; SAMA, short-acting muscarinic antagonist; SMI, soft mist inhaler Non-pharmacological strategies for the management of COPD Vaccinations that lower risk of respiratory tract infections Both influenza and pneumococcal vaccinations decrease lower respiratory tract infections.¹ Offer patients with COPD both these vaccinations in alignment with the National Adult Immunisation Schedule.²⁹ Patients who have not received vaccination against Pertussis should also receive the Tdap vaccine.¹,³⁰"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p11-11::s0023::exercise-and-pulmonary-rehabilitation::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,11,11,Exercise and pulmonary rehabilitation,1,264,"Exercise and pulmonary rehabilitation Reduced physical activity is common in patients with COPD and results in poorer outcomes. Encourage patients to exercise regularly. Simple aerobic exercises such as walking three to four times a week for 20 to 30 minutes is beneficial. Coupling this with strengthening exercises such as repeated movements with weights has additional benefits.³¹ Pulmonary rehabilitation programmes are available in hospitals. They improve symptoms, quality of life, and exercise tolerance. A key component of pulmonary rehabilitation programmes is structured exercise training, recommended twice a week for six to eight weeks. Education and self-management strategies are also incorporated to target behavioural change, with the aim of improving patient well-being and long-term adherence to health-enhancing behaviours.¹ Long-Term Oxygen Therapy (LTOT) COPD patients managed in the primary care setting may be on LTOT. It is indicated when¹: • SaO₂ <88% on room air when stable (confirmed twice over a three-week period); or • SaO₂ =88% on room air with evidence of right heart failure or erythrocytosis. If prescribed, LTOT should achieve SaO₂ ≥90%, and clinicians should review their patient’s condition and SaO₂ at room air every 60 to 90 days to adjust the oxygen therapy accordingly.¹ Nutritional Support In patients with COPD, weight loss and malnutrition develop as the disease progresses and indicates a poor prognosis. Malnutrition in COPD is associated with impaired lung function, poor exercise tolerance, worsened quality of life, increased hospitalisations and mortality.¹ As such, nutritional repletion (including protein supplementation) plays an important role for such patients, and should be coupled with optimisation of lung function, regular exercise, and oxygenation if needed.¹"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p11-11::s0024::specialist-referral::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,11,11,Specialist referral,1,44,"Specialist referral Indications for referring to a specialist include diagnostic uncertainty (such as patients with features of both asthma and COPD), unusual symptoms (such as haemoptysis), severe COPD, onset of cor pulmonale, bullous lung disease, COPD <40 years of age, and frequent chest infections.³²"
Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf::p11-12::s0025::palliative-and-supportive-care::c1,Singapore Chronic obstructive pulmonary disease diagnosis and management (Dec 2024).pdf,11,12,Palliative and supportive care,1,148,"Palliative and supportive care Palliative care aims to optimise quality of life at all stages of disease by achieving symptom control and maximising function. In the context of palliative or supportive care for patients with COPD, treatment options to reduce dyspnoea include opioids,³³ pulmonary rehabilitation,³⁴ patient self-management education for breathing techniques,¹ neuromuscular electrical stimulation,³⁵ chest wall vibration,³⁶ and blowing air onto the face — in addition to treatment with inhalers.³⁷ Referral to palliative care services can aid in managing refractory dyspnoea. As COPD is a progressive disease with difficult prognostication, advanced care planning should be performed early without waiting for life expectancy to be considered limited in the short term. Recent hospitalisation may be an opportunity to initiate such discussions. This ACG has been adapted with permission from the Global Initiative for Chronic Obstructive Lung Disease (GOLD), Global Strategy for the Diagnosis, Management, and Prevention of COPD (2024)."
